전원의  행진	promenade
적토성산	(積土成山) NULL
적편에 붙다	revolt
적폐	(積弊) NULL
적포도주	red wine
적포도주	Beaune
적하	drip, dropping of a drip
적하	bulk, cargo, freight, stowage
적하 듣는 것	dripping
적하 명세서	shipping bill
적하 목록	flight manifest
적하 목록에 기재하다	manifest
적하 송장	shippingbill
적하 신앙	cargo cult
적하가 없는	clean
적하권	stillicide
적하기	loader
적하베이	cargo bay
적하불	c.o.s., C.O.S.
적합	(適合) conformance, conformity, congruity, fitness, suitability
적합도	goodness of fit
적합성	(適合性-) aptness, compatibility, congeniality, fitness
적합시키다	reduce
적합시키다	calculate
적합치않은	contrary
적합하게	compatibly
적합하다	(適合-) suitability,fitness
적합하다-지탱하다	bear
적합하지 않은	inaptitude
적합하지 않은	misbecoming
적합하지 않음	inadaptability
적합한	adaptive, conformable, congruous, consentaneous
적합할 수 있는	adaptive
적혈	(赤血) NULL
적혈구	an erythrocyte, red blood cell(corpuscle)
적화	(赤化) instilltion
적화 하다	Bolshevize
적화된	red
적확	(的確-) certitude, precision
적확성	cogency
적환장	(積換場) NULL
적히다	To be recorded,written down
전	all,every
전	Before
전 군함	navy
전 대학생 클럽의	Panhellenic
전 도시의	citywide
전 미국 여성연맹	NOW
전 미국법 집행 텔레타이프	NLETS
전 밀가루로 만든	whole-wheat
전 비용 부담의	allexpense
전 사무총장Nobel 평화상 수상(196	Hammarskjold
전 생물체	probiont
전 설비	armamentarium
전 소유자에게 되돌려 주다	reconvery
전 승무원	ship
전 작품	oeuvre
전 증폭기	preselector
전 지역 폭격	area bombing
전 차지인	tenantry
전 형성층	procambium
전 회교도	Islam
전 회장	P.G.
전 회장	past master
전가	(傳家,轉嫁) passalong, something given from father to son
전가	(傳家,轉嫁) move or shift responsibility to somebody else
전가 시킬수 있음	imputability
전가동	full blast
전가비난	imputation
전가지보	(傳家之寶) NULL
전가하다	(傳家,轉嫁) impute
전가할수 있는	imputable
전각	(殿閣) em
전각	(殿閣) proleg
전갈	(全-) a scorpion
전갈	(傳喝) communication, remembrance, a verbal message
전갈목의	scorpioid
전갈자	(全갈@) NULL
전갈자리	Scorpio, Scorpius (the Scorpion) (the constellation)
전갈채찍	scorpion
전갈하다	(傳喝) usher
전개	(展開) unfolding,development,expansion
전개교	(展開橋) a rolling bridge
전개되다	(展開-) To be unfolded,spread out
전개시키다	to deploy
전개시키다	to develop (events)
전개하다	(展開-) To unfold,evolve,spread out
전개형	(展開型) NULL
전객제	(田客制) NULL
전갱이	horse mackerel
전갱이	bluefish
전갱이과의 물고기	moonfish
전갱이과의 물고기	carangid
전갱이의 무리	bluefish
전갱이의 일종	pompano
전거	(典據) a basis in, foundation of
전거 없는	imperscriptible
전게 인용문 중에	lococitato
전격	(電擊) electrical shock
전격적	(電擊的) fast as electricity
전격적인	foudroyant
전격전	blitzkrieg
전경	(戰警) the fighting police (deals with rioters) 
전경	(全景) panorama, bird's eye view
전경	(前景) foreground
전경의	a transit instrument
전계	electric field
전계 강도	field strength
전계 방출	field emission
전계 이온 현미경	field ion microscope
전계 효과 트랜지스터	fieldeffect transistor
전계의 강도	field intensity
전계통	circle
전공	(專攻) Specialty
전공 논문	monograph
전공 논문 집필자	monographer
전공 논문의	monographic
전공 십자 훈장	Military Cross
전공과목	(專攻科目) NULL
전공의	(專攻醫) NULL
전공자	(專攻者) NULL
전공하다	(專攻-) To major in something
전과	(前科) previous conviction
전과	(前科) record
전과 기록	rap sheet
전과 기록부	pedigree
전과가 없는 사람	cleanskin
전과자	(前科者) con, exconvict
전관	(前官) the person who used to have that govt. position
전관	over the entire district
전관	(全館) all of the buildings
전광	(電光) an electric light
전광석	blue streak
전광석화	(電光石火-) as fast as lightning, blue streak; 번갯불이 번찍이는 것처럼 빠르다. Used when the work is done really fast. 
전광판	(電光板) a display panel whose light bulbs make letters or shapes
전교	(全校-) c.o., c/o
전교 학생	school
전교생	(全校生) NULL
전구	(電球) An electric bulb
전구증	prodrome
전국	(全國) The whole country
전국 노동 관계 위원회	National Labor Relations Board
전국 노동관계위원회	N.L.R.B., NLRB
전국 인민 대표대회	National People
전국 체육연맹	N.A.U.
전국구	(全國區) NULL
전국대회	the National Convention
전국민	collectivity
전국민의	national
전국술	alcohol that doesn't use 국물
전국적	(全國的) National
전국적으로	nationally, nationwide
전국적인	coast-to-coast, countrywide, nationwide
전국전력계통망	national grid
전국화	(全國化) NULL
전군	(全軍) NULL
전군 최고사령관	generalissimo
전굴	anteflexion
전권	(專權) NULL
전권	(田券) NULL
전권	(全權) NULL
전권 공사	minister plenipotentiary
전권 대사	plenipotentiary
전권공사	envoy
전권리의 매점	buyoff
전극	electrode, pole
전극기	reverser
전근	(轉勤) NULL
전근대	(前近代) NULL
전근대적	(前近代的) NULL
전기	(傳記) a biography
전기	(前期) the former period/term
전기	(電氣) Electricity
전기 감응력	electrosensitivity
전기 경련의	electroconvulsive
전기 공학	electrical engineering
전기 공학	electrotechnology
전기 광학	electrooptics
전기 광학의	electrooptic
전기 기록도	electrogram
전기 기타	electric guitar
전기 긴장	electrotonus
전기 냄비	Crockpot
전기 담요	heating pad
전기 담요	electric blanket
전기 도금	galvanizaion
전기 도금	electroplating
전기 마력	EHP
전기 메스	radio knife
전기 반응	electrosensitivity
전기 발생	electrogenesis
전기 분해	electrolyzation
전기 사형	electric chair
전기 상형	electrocution
전기 수면	electrosleep
전기 역학	electrodynamics
전기 영화	biopic
전기 요법	electrotherapeutics
전기 요법	galvanism
전기 작가	Maurois
전기 작가	biographer
전기 주조	galvanoplastrics
전기 침술	electroacupuncture
전기 통신	telecom
전기 패드	heating pad
전기 회로	electric circuit
전기가오리	crampfish
전기고장	power failure
전기공	(電氣工) NULL
전기공학	electrotechnics
전기과	(電氣科) NULL
전기기관차	electromotive
전기기사	electrical engineer
전기기술자	electrician
전기냉장고	Frigidaire
전기도금하다	to galvanize
전기독교도	Christendom
전기독교의	ecumenical
전기독교회	Catholic Church
전기동	(電氣銅) NULL
전기동력계	electrodynamometer
전기로	an electric furnace
전기메가폰	bullhorn
전기문	(傳記文) a biography
전기밥솥	Electric rice cooker
전기뱀장어	electric eel
전기분해	electroanalysis
전기석	tourmalin(e)
전기선	(電氣線) a power cord, an electrical line
전기소설	romance
전기소설의	Romanesque
전기식으로	biographically
전기악기	electrophone
전기영동법	electrophoresis
전기요법	electrotherapy
전기의자	chair, hot seat
전기이동	electrophoresis
전기자	an armature
전기작가	biogrpher
전기쟁반	electrophorus
전기적	(前期的) NULL
전기적인	electrokinetic
전기주임	gaffer
전기체로	biographically
전기침	an lectric needle
전기통신	(電氣通信) telecommunications
전기판	a galvanograph, a cliche
전기판술	galvanoplastrics
전기판술의	galvanoplastric
전기풍로	hot plate
전기하다	forenamed, said
전기학상	electrically
전기화학	electrochemistry
전깃	(電氣) NULL
전나무	fir
전나무 열매	fir cone
전나무 잎	fir needle
전나무 재목	deal
전나무 재목의	firry
전나무가 많은	firry
전나무의	firry
전나무의 일종	noble fir
전날	(前-) The day before, the day prior
전날밤에	overnight
전날밤의	overnight
전남편	ex-husband
전년	(前年) NULL
전년도	(前年度) NULL
전념	(專念) allegiance, devotion
전농	(田農) NULL
전뇌	(電腦) prosencephalon
전뇌	(電腦) forebrain
전능	(全能-) almightiness
전능	(全能) omnipotence
전능의	allpowerful
전능의	omnipotent
전능의 신	god Almighty
전능의 신	omnipotent
전능한	almighty
전단	(傳單) a flier, leaflet (for advertising)
전단	(傳單) an arbitrary decision
전단	(傳單) shear (using scissors)
전단계	run-up
전단기	shearer
전단물	(傳單物) NULL
전단의	self-assumed
전단의 가공	shearing
전단적 기피	peremptory challenge
전단지	(傳單紙) an advertising flyer
전달	(傳達) Delivery
전달능력	communicative competence
전달되다	(傳達-) To be delivered
전달수단	a means of delivery
전달식	(傳達式) NULL
전달자	the communicator, conveyancer, transmitter
전달하다	(傳達-) To deliver
전달학	communication
전담	(專擔) entrust to a specialist
전담반	(全擔班) NULL
전답	(田畓) NULL
전당	(全黨,殿堂) hock
전당	(全黨,殿堂) pop
전당 대회	convention
전당 잡히다	impawn
전당뇨병	prediabetes
전당대회	National Convention
전당잡는 사람	pawnee
전당잡히다	hock
전당잡히다	spout
전당포	(典當鋪) a hockshop, a pawnshop
전당포 간판	golden balls
전당포 주인	pawnbroker
전당포영업	pawnbroking
전당표	duplicate
전당표	pawn ticket
전대	(前代,纏帶) sublease
전대	(前代,纏帶) all the military troops at one's disposition
전대 미문의	unparalleled
전대미문	(前代未聞) never seen before
전대인	sublessor
전대통령	expresident
전대하다	(前代) former generations
전대하다	(纏帶) sublease, underlease
전도	conduction, electroplating, transmission
전도	(顚倒) falling down, resupination, reversal, reversion, topsyturvy
전도	the road ahead
전도	(傳道) proselytising mission, propagandism
전도금	imprest
전도대	conduction band
전도력	conductace
전도사	(傳道師-) catechist
전도사의	catechistic, -tical
전도서	ecclesiastes
전도성	conductance, conductivity
전도성의	conductible
전도시키다	invert
전도양양	(前途洋洋) NULL
전도유망	(前途有望) NULL
전도율	(傳導率) NULL
전도의	inversive
전도체	conductor
전도총론	pantography
전도하다	(全圖) a map showing everything
전도하다	(傳導) conduct, lead, guide
전도하다	(傳道) evangelize, preach, proselytize
전도하다	(顚倒) falling down
전도한	resupinate
전독일의	PanGerman
전독일주의	PanGermanism
전동	(傳棟) NULL
전동 장치	gear
전동 장치로 연결하다	gear
전동 장치변속	transmission
전동기	(電動機) motor
전동력	emf
전동식	(電動式) NULL
전동식 모형 토끼	electric hare
전동식 폭탄 투하 장치	Mickey Mouse
전동의	elecpowered
전동의	electromotive
전동장치	gearing
전동차	(電動車) rail motor
전동휠체어	electric wheelchair
전두골	frontal; the future 장래
전두부	sinciput
전두엽 절제술	frontal lobotomy
전등	(電燈) electric light
전라	(全裸) NULL
전라도	(全羅道) South-western region of south korea
전라의	starknaked
전락	(轉落) to fall down, to rollover, to tip over
전락하다	(轉落) to stoop, to fall to that level
전란	(戰亂) war
전람	showing
전람	show
전람회	(展覽會) exhibition
전람회	(展覽會) exposition
전래	(傳來) to hand down, transmit
전래되다	(傳來) to have been handed down
전래자	introducee
전략	(戰略) stratagem, strategics, strategy
전략가	strategist
전략기	(戰略期) NULL
전략적	(戰略的) NULL
전략하다	(戰略) tumble
전량	(全量) all of it
전량 분석	coulometry
전량계	coulometer, voltameter
전력	(全力) all out, with all one`s strength
전력	(前歷) one`s past, one`s previous history
전력	(戰力) military power
전력	(電力) electric power, power
전력계	wattmeter
전력공급	power supply
전력난	(電力難) power difficulties
전력량	(電力量) NULL
전력량계	power meter
전력망	(電力網) power grid
전력자	(前歷者) NULL
전력투구	(全力投球) NULL
전렴	concentration, engrossment (thoughts)
전렴하다	commit, concentrate
전령	(傳令) dispatch rider
전령	(傳令) orderly
전령관	herald
전령관으로	heraldically
전령관의	heraldic
전령사	(傳令使) NULL
전령사의 옷	tabard
전령장교	galloper
전례	(前例) a precedent
전례	(典禮) divine service, liturgy
전례론	liturgics
전례법규	rubric
전례없음	record-breaking
전례주의자	a liturgist
전례학	liturgics
전례학자	a liturgist
전로	converter
전로강	electric steel
전류	(電流) electric current, electricity
전류 밀도	current density
전류계	(電流計) ammeter, amperemeter
전류기	(電流機) NULL
전류의 세기	current
전류측정	galvanometry
전륜 구동	frontwheel drive
전리	ionization (dissociation into ions)
전리권	ionosphere
전리층이온권	ionosphere
전리품	(戰利品-) booty, loot, trophy
전리품으로 저장	trophied
전리하다	ionize
전리함	ionization chamber
전립선	(前立腺) the prostate
전립선 절제	a prostatectomy
전립선 증	prostatism
전립선암	(前立腺癌) prostate cancer
전립선염	prostatitis
전마기	roller
전마비	panplegia
전말	(顚末-) circumstance
전말	(顚末) prehistory
전말기	(顚末記) NULL
전말서	(顚末書) NULL
전망	(展望) A view,prospect
